#sommet;position;couleur;etiquette
0;0.0123421661556 0.00714992592111;255 255 0 40;"FRANKFURT"
1;0.0130535606295 0.0065949736163;255 255 0 40;"TIRANA"
2;0.0133040845394 0.00638039270416;255 255 0 40;"ATHENS"
3;0.0130482763052 0.00649244012311;255 255 0 40;"CORFU"
4;0.0131190977991 0.00649455515668;255 255 0 40;"IOANNINA"
5;0.0132554592565 0.00654634879902;255 255 0 40;"THESSALONIKI"
6;0.0123527329415 0.00687086535618;255 255 0 40;"MILANO **"
7;0.0127195334062 0.00689729116857;255 255 0 40;"LJUBLJANA"
8;0.011572628282 0.00654317997396;255 255 0 40;"MADRID ** (MAD. TOJ)"
9;0.0122766252607 0.00699559878558;255 255 0 40;"MULHOUSE"
10;0.0129763949662 0.00425465591252;0 255 0 40;"BANGUI"
11;0.0124098137021 0.0057556736283;0 255 0 40;"In Amenas"
12;0.0117533849552 0.00682012550533;255 255 0 40;"BORDEAUX"
13;0.011759727262 0.00623557530344;0 255 0 40;"Oran"
14;0.0119954505935 0.00718375388533;255 255 0 40;"LILLE"
15;0.0117068747059 0.00619752099738;0 255 0 40;"Tlemcen"
16;0.012111726217 0.00687720626593;255 255 0 40;"LYON ** (LYS. LYN)"
17;0.012129696086 0.00673133507371;255 255 0 40;"MARSEILLE"
18;0.0121950916946 0.00708306999877;255 255 0 40;"METZ-NANCY ** (ETZ. ENC. MZM)"
19;0.0121444948018 0.00542375817895;0 255 0 40;"Tamanrasset"
20;0.0119605679065 0.00708544626832;255 255 0 40;"PARIS **"
21;0.0209782868624 0.00483180908486;0 0 255 40;"GUAM"
22;0.0112808821723 0.00573453167453;0 255 0 40;"Tindouf"
23;0.0115493731573 0.00430962257087;0 255 0 40;"ABIDJAN"
24;0.0119922785088 0.00630956841633;0 255 0 40;"ALGIERS"
25;0.012305165641 0.00505273137242;0 255 0 40;"AGADES"
26;0.0142850298434 0.0053402511403;96 159 191 40;"JEDDAH"
27;0.0117671266198 0.00641104811803;255 255 0 40;"ALICANTE"
28;0.0119309695438 0.00659603159875;255 255 0 40;"BARCELONA ** (BCN. QSA)"
29;0.0116138542071 0.00672287959605;255 255 0 40;"BILBAO"
30;0.0108094364405 0.00575250107795;255 0 0 40;"Gran Canaria"
31;0.0115134334192 0.00630216952413;255 255 0 40;"MALAGA"
32;0.0114182978868 0.00672498997301;255 255 0 40;"OVIEDO"
33;0.0119721954688 0.00648504123092;255 255 0 40;"PALMA DE MALLORCA"
34;0.0112565681338 0.00669328123331;255 255 0 40;"SANTIAGO DE COMPOSTELA"
35;0.0114246420562 0.00635079480708;255 255 0 40;"SEVILLE"
